CustomerID,Gender,Age,Tenure,ContractType,MonthlyCharges,InternetService,SupportCalls,TotalCharges,Churn
32,Male,37,16,Month-to-Month,103.28,DSL,1,1705.8,No
33,Female,67,61,Month-to-Month,57.03,DSL,0,3424.64,No
34,Female,55,34,One Year,85.79,Fiber optic,1,2952.78,No
35,Female,41,12,Month-to-Month,71.12,Fiber optic,2,867.85,No
36,Male,27,34,Month-to-Month,28.4,DSL,1,960.07,No
37,Female,49,42,Month-to-Month,89.21,DSL,4,3733.64,No
38,Male,69,1,Month-to-Month,48.37,DSL,3,62.02,No
39,Male,32,55,One Year,94.06,DSL,1,5141.16,No
40,Male,54,50,Two Year,39.94,Fiber optic,4,2148.31,No
41,Male,37,53,Month-to-Month,77.26,DSL,3,4028.36,No
42,Male,20,15,Month-to-Month,71.17,Fiber optic,4,940.2,No
43,Female,54,17,One Year,51.92,Fiber optic,2,897.22,No
44,Female,57,6,Month-to-Month,111.39,DSL,2,672.8,Yes
45,Female,25,44,Month-to-Month,71.01,No,2,3151.13,No
46,Female,57,35,Month-to-Month,57.35,DSL,1,1864.44,No
47,Female,61,40,Month-to-Month,78.96,DSL,3,3066.73,No
48,Male,40,41,Month-to-Month,26.33,DSL,4,1057.27,No
49,Female,57,6,Month-to-Month,143.55,DSL,1,905.23,Yes
50,Female,28,14,One Year,37.43,DSL,3,433.19,No
51,Male,63,59,Month-to-Month,86.55,DSL,3,5128.88,No
52,Female,25,39,Month-to-Month,71.83,Fiber optic,2,2789.08,No
53,Male,46,36,Month-to-Month,105.41,Fiber optic,1,3802.7,No
54,Female,47,65,Month-to-Month,75.34,Fiber optic,0,4895.78,No
55,Male,27,54,Month-to-Month,50.85,Fiber optic,0,2745.01,No
56,Female,56,55,Two Year,14.26,Fiber optic,1,783.18,No
57,Female,45,43,Month-to-Month,16.6,DSL,0,769.02,No
58,Male,66,56,One Year,62.86,DSL,5,3521.9,No
59,Male,53,5,Month-to-Month,111.11,DSL,0,606.42,Yes
60,Male,30,31,One Year,19.84,Fiber optic,2,593.02,No
61,Male,49,17,Month-to-Month,125.48,DSL,2,2189.05,No
62,Male,53,67,Month-to-Month,102.61,DSL,1,6863.07,No
63,Male,54,6,One Year,29.54,DSL,5,166.02,No
64,Male,43,7,Month-to-Month,37.44,DSL,1,173.26,No
65,Male,39,63,One Year,40.47,DSL,6,2504.47,Yes
66,Female,21,6,Month-to-Month,78.98,DSL,2,438.81,No
67,Female,48,40,Two Year,68.31,DSL,1,2641.95,No
68,Male,35,39,One Year,67.19,DSL,2,2577.26,No
69,Female,55,2,Two Year,54.86,DSL,2,144.07,No
70,Female,41,16,Month-to-Month,75.35,DSL,2,1245.43,No
71,Female,40,65,Month-to-Month,95.11,DSL,2,6097.89,No
72,Female,39,51,One Year,66.15,Fiber optic,1,3456.78,No
73,Male,19,21,Two Year,50.12,DSL,2,1094.47,No
74,Female,48,3,Two Year,99.76,DSL,1,403.29,Yes
75,Male,28,5,Month-to-Month,63.36,DSL,3,372.13,No
76,Female,45,37,One Year,86.56,DSL,3,3297.32,No
77,Female,63,25,Month-to-Month,67.0,DSL,2,1695.94,No
78,Female,49,10,Month-to-Month,102.55,No,2,986.68,Yes
79,Male,22,16,Month-to-Month,107.0,Fiber optic,4,1725.07,No
80,Female,55,30,Month-to-Month,105.95,DSL,3,3066.6,No
81,Male,27,34,Two Year,53.44,Fiber optic,1,1808.92,No
82,Female,57,15,Month-to-Month,53.14,DSL,0,794.84,No
83,Male,63,17,One Year,96.21,DSL,1,1683.84,No
84,Female,41,61,Month-to-Month,68.06,Fiber optic,1,4162.01,No
85,Male,52,26,Month-to-Month,68.97,DSL,4,1771.16,No
86,Male,61,34,Month-to-Month,49.15,Fiber optic,1,1601.22,No
87,Female,65,44,Month-to-Month,112.28,Fiber optic,5,4902.69,No
88,Male,40,34,Month-to-Month,101.21,Fiber optic,1,3429.94,No
89,Female,34,27,One Year,66.43,No,0,1758.43,No
90,Female,18,8,Two Year,50.64,Fiber optic,1,274.01,No
91,Female,48,14,Month-to-Month,49.31,Fiber optic,0,689.76,No
92,Female,48,20,Month-to-Month,74.0,DSL,6,1456.69,Yes
93,Female,59,51,Month-to-Month,81.6,DSL,1,4137.36,No
94,Female,59,34,One Year,44.13,Fiber optic,6,1508.63,Yes
95,Female,51,50,Month-to-Month,32.65,No,1,1609.7,No
96,Female,26,54,Month-to-Month,72.39,Fiber optic,0,3962.93,No
97,Female,39,43,Month-to-Month,95.94,No,2,4088.55,No
98,Female,30,64,Two Year,72.21,DSL,3,4580.33,No
99,Female,42,24,Month-to-Month,62.52,DSL,3,1462.58,No
100,Male,65,46,Month-to-Month,36.1,DSL,2,1669.45,No
101,Male,35,55,Two Year,50.98,Fiber optic,2,2811.99,No
102,Female,68,37,One Year,96.35,Fiber optic,0,3536.96,No
103,Female,29,10,One Year,32.4,DSL,0,323.35,No
104,Female,57,66,Month-to-Month,123.18,No,1,8148.91,No
105,Female,34,14,Two Year,72.55,Fiber optic,2,1045.66,No
106,Female,32,0,One Year,22.41,Fiber optic,3,-5.81,No
107,Female,59,6,Two Year,85.1,Fiber optic,3,471.18,Yes
108,Female,32,0,One Year,83.51,DSL,2,-39.36,Yes
109,Female,32,48,One Year,56.87,Fiber optic,0,2742.91,No
110,Male,56,28,Month-to-Month,98.18,DSL,3,2785.28,No
111,Female,30,25,Month-to-Month,51.4,DSL,1,1292.54,No
112,Male,34,44,One Year,88.96,Fiber optic,2,3894.91,No
113,Female,49,70,Month-to-Month,68.96,No,0,4798.71,No
114,Female,26,11,Month-to-Month,61.49,Fiber optic,1,716.72,No
115,Male,57,31,Month-to-Month,110.29,Fiber optic,0,3357.61,No
116,Female,37,19,One Year,99.51,Fiber optic,3,1866.92,No
117,Male,43,50,Month-to-Month,36.78,DSL,2,1911.0,No
118,Female,44,35,One Year,81.41,Fiber optic,5,2907.82,No
119,Female,38,66,One Year,126.8,Fiber optic,1,8378.81,No
120,Male,35,0,Month-to-Month,111.07,DSL,0,-24.3,Yes
121,Female,30,26,Month-to-Month,42.72,DSL,4,1098.06,No
122,Male,33,39,Month-to-Month,117.88,DSL,1,4601.64,No
123,Female,26,13,Month-to-Month,97.9,DSL,4,1378.09,No
124,Male,29,68,Month-to-Month,38.54,DSL,4,2671.93,No
125,Male,61,5,Month-to-Month,76.23,DSL,3,425.75,No
126,Female,55,32,Two Year,84.33,Fiber optic,1,2690.8,No
127,Female,36,54,Month-to-Month,37.69,Fiber optic,0,2010.44,No
128,Male,24,18,One Year,91.18,Fiber optic,0,1631.4,No
129,Female,52,28,Month-to-Month,142.89,DSL,1,4050.7,No
130,Female,65,60,One Year,110.96,Fiber optic,2,6738.9,No
131,Female,35,69,Month-to-Month,74.86,DSL,4,5122.68,No
132,Male,33,23,One Year,61.56,Fiber optic,1,1301.04,No
133,Male,56,22,One Year,79.85,DSL,3,1744.16,No
134,Male,21,9,One Year,40.74,Fiber optic,4,419.71,No
135,Male,42,53,Month-to-Month,55.67,DSL,2,2921.98,No
136,Male,49,40,One Year,11.15,Fiber optic,1,468.63,No
137,Male,57,48,Month-to-Month,83.04,Fiber optic,2,3929.68,No
138,Male,30,16,Month-to-Month,59.87,Fiber optic,1,943.21,No
139,Male,62,55,Month-to-Month,88.54,DSL,1,4830.27,No
140,Male,34,44,Month-to-Month,73.59,DSL,1,3230.32,No
141,Female,66,29,Month-to-Month,39.68,No,0,1160.87,No
142,Male,54,43,One Year,76.01,Fiber optic,2,3302.98,No
143,Female,23,54,Month-to-Month,48.6,No,1,2603.43,No
144,Female,36,18,Month-to-Month,119.66,DSL,0,2097.06,No
145,Female,30,28,Month-to-Month,44.7,No,2,1175.57,No
146,Male,43,1,One Year,55.9,No,4,110.02,No
147,Male,31,35,Month-to-Month,39.59,Fiber optic,4,1344.9,No
148,Male,48,18,Month-to-Month,36.99,DSL,1,691.6,No
149,Male,21,6,One Year,70.9,Fiber optic,1,345.81,No
150,Female,56,25,Month-to-Month,32.64,No,1,894.5,No
151,Male,25,37,Month-to-Month,64.36,Fiber optic,3,2520.51,No
152,Male,42,2,Month-to-Month,82.9,DSL,4,182.27,Yes
153,Male,30,65,One Year,57.29,DSL,2,3709.38,No
154,Male,49,70,One Year,3.91,Fiber optic,3,345.64,No
155,Male,55,42,Month-to-Month,110.02,Fiber optic,4,4596.04,No
156,Female,55,61,Month-to-Month,78.0,Fiber optic,3,4760.52,No
157,Male,45,70,Month-to-Month,78.36,Fiber optic,5,5346.89,No
158,Female,47,23,One Year,63.04,No,4,1446.07,No
159,Male,20,38,Two Year,94.33,DSL,2,3642.37,No
160,Female,45,67,Month-to-Month,98.14,DSL,2,6552.36,No
161,Male,20,43,Month-to-Month,101.14,DSL,1,4326.81,No
162,Male,62,4,One Year,78.06,No,2,290.42,No
163,Female,51,54,One Year,28.72,Fiber optic,1,1649.02,No
164,Female,33,29,Two Year,82.16,DSL,0,2394.01,No
165,Female,39,28,One Year,78.02,DSL,0,2186.5,No
166,Male,49,25,Two Year,53.54,DSL,3,1318.26,No
167,Female,55,25,Month-to-Month,45.94,Fiber optic,1,1199.91,No
168,Male,25,36,Month-to-Month,86.29,Fiber optic,4,3066.15,No
169,Male,25,52,Month-to-Month,67.72,Fiber optic,6,3584.33,Yes
170,Female,23,29,One Year,58.3,DSL,1,1684.84,No
171,Female,31,2,Month-to-Month,120.17,No,1,298.91,Yes
172,Male,49,42,Month-to-Month,90.15,DSL,3,3767.85,No
173,Male,52,6,Month-to-Month,83.04,Fiber optic,3,539.15,Yes
174,Female,27,48,Month-to-Month,106.55,DSL,3,5141.39,No
175,Female,20,40,Two Year,79.91,DSL,2,3193.41,No
176,Female,29,53,Month-to-Month,48.88,DSL,3,2659.08,No
177,Male,66,68,Month-to-Month,58.31,Fiber optic,2,4029.88,No
178,Male,48,26,One Year,91.96,Fiber optic,1,2358.72,No
179,Male,46,7,Month-to-Month,88.75,DSL,1,585.4,Yes
180,Male,22,31,One Year,83.39,DSL,4,2573.0,No
181,Male,69,63,One Year,35.87,Fiber optic,3,2244.92,No
182,Male,42,9,Two Year,94.4,DSL,3,901.57,Yes
183,Female,58,12,Two Year,68.05,DSL,2,834.53,No
184,Male,48,62,Month-to-Month,88.0,Fiber optic,0,5411.03,No
185,Male,38,34,Month-to-Month,45.1,Fiber optic,2,1490.75,No
186,Male,37,60,Month-to-Month,128.98,DSL,0,7744.44,No
187,Female,56,53,Month-to-Month,77.42,No,3,4146.57,No
188,Male,39,7,Month-to-Month,57.47,DSL,5,480.53,No
189,Male,21,28,Month-to-Month,89.39,DSL,5,2511.51,No
190,Female,30,40,Two Year,95.74,DSL,1,3823.39,No
191,Male,62,29,Month-to-Month,89.02,Fiber optic,2,2570.39,No
192,Male,59,20,Month-to-Month,40.16,DSL,1,766.77,No
193,Male,67,10,Month-to-Month,104.28,Fiber optic,1,1038.91,Yes
194,Male,66,1,Month-to-Month,59.65,DSL,2,35.3,No
195,Male,37,49,Two Year,69.52,DSL,5,3386.05,No
196,Female,69,40,Month-to-Month,3.74,Fiber optic,2,179.34,No
197,Female,30,65,One Year,56.08,Fiber optic,1,3573.22,No
198,Female,34,2,Month-to-Month,55.89,DSL,0,15.96,No
199,Male,53,50,Month-to-Month,83.52,Fiber optic,1,4128.43,No
200,Male,50,67,Month-to-Month,54.25,Fiber optic,3,3674.33,No
201,Male,18,24,One Year,21.35,DSL,2,529.91,No
202,Female,32,29,Month-to-Month,77.32,Fiber optic,2,2289.32,No
203,Male,30,10,Month-to-Month,62.49,DSL,2,542.39,No
204,Male,34,16,Month-to-Month,48.14,Fiber optic,2,795.85,No
205,Female,41,25,One Year,72.63,Fiber optic,2,1743.85,No
206,Male,25,22,One Year,16.61,DSL,1,311.36,No
207,Female,67,55,Month-to-Month,88.61,DSL,0,4808.7,No
208,Female,44,51,Month-to-Month,64.52,DSL,4,3234.04,No
209,Female,62,47,Two Year,61.98,No,4,3045.17,No
210,Male,40,19,One Year,98.58,Fiber optic,2,1899.56,No
211,Male,63,1,One Year,53.93,DSL,2,-38.47,No
212,Male,25,30,One Year,77.76,Fiber optic,2,2254.2,No
213,Male,25,26,One Year,66.11,DSL,0,1722.89,No
214,Male,43,1,Month-to-Month,166.48,Fiber optic,2,174.89,Yes
215,Male,64,3,Two Year,84.65,Fiber optic,0,222.15,Yes
216,Male,30,12,Two Year,35.76,No,2,513.57,No
217,Female,56,34,Month-to-Month,122.57,DSL,1,4122.88,No
218,Male,54,71,Month-to-Month,101.29,Fiber optic,2,7238.05,No
219,Female,66,65,Two Year,71.35,Fiber optic,3,4678.4,No
220,Male,45,5,Month-to-Month,56.88,Fiber optic,1,404.56,No
221,Male,42,30,Two Year,30.21,Fiber optic,3,1028.6,No
222,Male,33,9,Month-to-Month,82.92,Fiber optic,2,780.98,Yes
223,Female,19,20,Month-to-Month,49.75,DSL,6,996.81,Yes
224,Female,35,22,Month-to-Month,43.6,Fiber optic,4,977.07,No
225,Female,34,2,Month-to-Month,93.26,Fiber optic,2,217.25,Yes
226,Female,47,31,Month-to-Month,116.35,No,1,3513.85,No
227,Male,56,19,Month-to-Month,55.71,Fiber optic,2,983.58,No
228,Female,30,28,One Year,94.18,DSL,7,2685.78,Yes
229,Male,49,51,Two Year,76.37,Fiber optic,3,3963.2,No
230,Male,67,45,Month-to-Month,80.76,DSL,4,3708.57,No
231,Female,46,33,Month-to-Month,45.44,DSL,1,1488.87,No
232,Female,63,60,Month-to-Month,63.63,Fiber optic,5,3834.17,No
233,Female,47,71,Month-to-Month,37.1,DSL,2,2611.19,No
234,Female,35,70,Month-to-Month,33.32,No,3,2424.36,No
235,Female,30,69,Month-to-Month,85.55,Fiber optic,2,5883.53,No
236,Female,60,10,Month-to-Month,54.27,Fiber optic,2,503.6,No
237,Female,38,62,Month-to-Month,42.55,Fiber optic,0,2630.12,No
238,Female,47,20,Month-to-Month,33.71,Fiber optic,4,654.64,No
239,Male,38,2,One Year,24.59,Fiber optic,1,45.59,No
240,Female,65,9,Month-to-Month,11.31,DSL,0,146.9,No
241,Female,34,26,Two Year,73.33,Fiber optic,3,1912.93,No
242,Male,57,11,Two Year,8.82,DSL,1,67.43,No
243,Female,36,6,Two Year,84.14,DSL,2,472.16,Yes
244,Male,69,16,Two Year,83.93,Fiber optic,0,1316.08,No
245,Male,32,64,Month-to-Month,67.03,DSL,1,4192.69,No
246,Female,26,63,Month-to-Month,72.22,No,1,4595.06,No
247,Male,69,25,Month-to-Month,61.44,Fiber optic,1,1566.85,No
248,Male,27,14,One Year,76.76,No,2,1152.54,No
249,Male,61,32,Two Year,76.41,DSL,2,2464.16,No
250,Male,48,61,Two Year,109.05,No,3,6576.73,No
251,Female,40,46,Month-to-Month,115.98,DSL,1,5342.68,No
252,Male,69,34,One Year,115.07,DSL,2,3921.6,No
253,Female,47,64,Month-to-Month,46.07,DSL,6,2985.57,Yes
254,Male,50,71,Month-to-Month,92.73,Fiber optic,1,6673.72,No
255,Male,69,24,One Year,85.18,DSL,0,1982.57,No
256,Male,26,56,Month-to-Month,50.53,Fiber optic,2,2858.02,No
257,Male,64,31,Two Year,43.41,DSL,2,1337.29,No
258,Female,18,62,Month-to-Month,58.7,DSL,8,3767.83,Yes
259,Female,61,11,Two Year,38.17,Fiber optic,4,463.97,No
260,Male,52,62,Month-to-Month,28.32,DSL,1,1742.7,No
261,Male,28,0,One Year,84.92,Fiber optic,4,67.97,Yes
262,Female,51,50,One Year,70.98,Fiber optic,4,3536.71,No
263,Male,33,69,Two Year,70.83,No,2,4921.28,No
264,Male,26,7,Month-to-Month,97.8,DSL,3,665.3,Yes
265,Male,49,67,Two Year,64.12,No,1,4299.77,No
266,Female,32,4,Month-to-Month,94.91,Fiber optic,1,443.31,Yes
267,Female,29,38,Month-to-Month,47.83,No,3,1799.2,No
268,Female,50,22,Month-to-Month,47.64,DSL,2,896.31,No
269,Male,62,67,One Year,70.42,Fiber optic,3,4680.34,No
270,Male,31,51,Month-to-Month,133.64,Fiber optic,1,6889.8,No
271,Female,25,3,One Year,108.56,DSL,3,404.94,Yes
272,Female,25,46,One Year,102.94,Fiber optic,4,4699.43,No
273,Female,44,20,Month-to-Month,28.84,Fiber optic,3,497.12,No
274,Female,29,55,Two Year,74.35,Fiber optic,1,4065.88,No
275,Male,18,65,Month-to-Month,94.63,DSL,1,6199.26,No
276,Female,60,58,Two Year,132.56,Fiber optic,3,7677.52,No
277,Male,57,6,Month-to-Month,19.49,DSL,3,17.45,No
278,Female,59,48,Month-to-Month,91.93,Fiber optic,1,4441.0,No
279,Male,68,15,Month-to-Month,101.93,DSL,3,1580.56,No
280,Female,28,16,Month-to-Month,83.55,DSL,1,1415.95,No
281,Female,56,33,Month-to-Month,29.49,DSL,2,870.09,No
282,Female,60,32,Month-to-Month,77.6,Fiber optic,1,2540.45,No
283,Female,48,25,Month-to-Month,82.86,No,0,2080.82,No
284,Male,34,65,Month-to-Month,75.33,DSL,3,4863.44,No
285,Female,50,62,Month-to-Month,49.45,DSL,2,2983.52,No
286,Male,49,40,One Year,45.73,DSL,6,1736.44,Yes
287,Male,46,57,Month-to-Month,83.68,Fiber optic,0,4731.35,No
288,Male,38,9,Two Year,49.71,Fiber optic,3,406.63,No
289,Male,38,14,One Year,50.39,DSL,3,700.15,No
290,Female,57,41,One Year,65.81,Fiber optic,5,2772.25,No
291,Male,40,56,One Year,74.79,DSL,2,4184.72,No
292,Male,23,16,Month-to-Month,101.16,Fiber optic,1,1541.45,No
293,Male,39,59,One Year,34.12,DSL,2,1962.16,No
294,Female,67,8,Month-to-Month,31.15,Fiber optic,5,265.96,No
295,Female,55,35,Two Year,58.54,No,2,2011.28,No
296,Female,54,35,One Year,15.99,Fiber optic,1,553.83,No
297,Female,62,47,Month-to-Month,87.6,Fiber optic,4,4174.87,No
298,Male,68,50,One Year,10.19,Fiber optic,3,541.99,No
299,Male,25,69,Month-to-Month,91.22,DSL,3,6266.74,No
300,Female,58,67,Month-to-Month,103.27,Fiber optic,1,6870.01,No
301,Male,66,21,Month-to-Month,77.79,Fiber optic,1,1732.06,No
302,Male,52,5,One Year,14.28,No,0,36.38,No
303,Male,68,25,One Year,73.18,DSL,2,1949.07,No
304,Female,28,2,One Year,46.1,Fiber optic,2,173.16,No
305,Female,41,51,Month-to-Month,33.94,Fiber optic,2,1726.46,No
306,Male,66,59,Month-to-Month,87.38,DSL,3,5094.43,No
307,Female,38,62,One Year,93.01,Fiber optic,4,5768.54,No
308,Female,68,64,Month-to-Month,108.57,No,1,7014.34,No
309,Female,19,51,One Year,61.46,No,5,3115.46,No
310,Female,57,13,Month-to-Month,75.16,Fiber optic,3,911.21,No
311,Female,36,71,Month-to-Month,119.96,DSL,2,8489.21,No
312,Male,56,67,Month-to-Month,132.86,Fiber optic,2,8921.13,No
313,Female,45,27,One Year,102.41,Fiber optic,1,2788.63,No
314,Male,34,70,Month-to-Month,59.5,DSL,2,4169.07,No
315,Male,23,9,Month-to-Month,70.22,DSL,1,608.67,No
316,Female,36,56,Month-to-Month,64.65,DSL,2,3614.29,No
317,Male,55,65,Month-to-Month,91.17,DSL,2,5903.04,No
318,Male,45,49,Month-to-Month,45.41,Fiber optic,2,2231.85,No
319,Male,19,13,Month-to-Month,79.64,DSL,1,1048.46,No
320,Female,55,15,One Year,79.79,DSL,1,1184.66,No
321,Female,54,53,Month-to-Month,81.51,DSL,3,4277.91,No
322,Male,68,42,One Year,39.33,Fiber optic,1,1714.41,No
323,Female,69,41,One Year,77.42,DSL,2,3189.12,No
324,Female,21,21,Month-to-Month,123.08,DSL,1,2620.5,No
325,Female,39,67,Month-to-Month,56.29,DSL,1,3734.33,No
326,Female,43,18,Two Year,77.79,Fiber optic,3,1395.73,No
327,Male,66,65,Month-to-Month,14.74,DSL,4,919.95,No
328,Male,60,38,Month-to-Month,77.59,Fiber optic,1,3019.14,No
329,Female,53,18,Month-to-Month,76.5,DSL,1,1322.87,No
330,Female,30,15,One Year,73.49,DSL,2,1051.94,No
331,Male,69,53,Month-to-Month,91.91,DSL,1,4874.63,No
332,Male,49,24,Two Year,61.63,DSL,2,1420.77,No
333,Female,34,17,Two Year,105.29,DSL,6,1860.55,Yes
334,Male,58,22,Month-to-Month,43.51,DSL,1,886.73,No
335,Female,53,10,Month-to-Month,113.3,DSL,0,1121.12,Yes
336,Female,63,38,Month-to-Month,76.38,Fiber optic,1,2881.58,No
337,Male,36,67,Month-to-Month,67.85,DSL,3,4560.99,No
338,Male,52,24,Month-to-Month,27.05,Fiber optic,1,609.09,No
339,Female,63,62,Month-to-Month,36.71,Fiber optic,1,2288.9,No
340,Female,57,29,Month-to-Month,80.53,Fiber optic,2,2292.32,No
341,Male,45,44,Month-to-Month,48.5,DSL,1,2083.53,No
342,Female,18,60,Month-to-Month,99.85,Fiber optic,2,5979.7,No
343,Male,59,50,Two Year,78.62,DSL,3,3925.78,No
344,Female,35,8,Month-to-Month,27.25,DSL,3,203.97,No
345,Male,65,1,Two Year,92.83,DSL,0,73.45,Yes
346,Male,57,4,Month-to-Month,65.13,No,2,328.75,No
347,Male,50,61,Month-to-Month,68.63,DSL,3,4201.52,No
348,Female,29,68,Month-to-Month,101.34,No,3,6903.33,No
349,Female,25,51,Month-to-Month,28.17,DSL,3,1490.37,No
350,Male,41,4,Month-to-Month,36.26,No,0,77.03,No
351,Female,33,58,Two Year,79.77,No,2,4730.6,No
352,Male,67,67,Two Year,19.04,No,5,1191.72,No
353,Male,21,8,Month-to-Month,51.79,Fiber optic,3,475.89,No
354,Female,55,21,Month-to-Month,99.35,Fiber optic,0,2002.36,No
355,Female,61,26,Month-to-Month,66.74,No,0,1732.02,No
356,Male,44,9,Month-to-Month,28.77,DSL,3,228.02,No
357,Female,26,60,Month-to-Month,75.67,Fiber optic,1,4616.56,No
358,Female,64,50,Month-to-Month,57.85,Fiber optic,1,2931.05,No
359,Male,33,9,Month-to-Month,48.93,DSL,0,426.01,No
360,Male,29,5,Month-to-Month,176.69,Fiber optic,1,910.03,Yes
361,Female,48,61,Month-to-Month,87.24,DSL,2,5335.73,No
362,Male,41,4,Month-to-Month,61.5,Fiber optic,0,281.09,No
363,Male,31,69,Month-to-Month,96.95,DSL,2,6679.72,No
364,Female,62,62,Two Year,61.27,DSL,0,3764.03,No
365,Male,42,55,Month-to-Month,54.46,DSL,2,2886.74,No
366,Male,51,58,Two Year,78.98,Fiber optic,2,4563.62,No
367,Female,20,62,One Year,85.26,DSL,1,5292.84,No
368,Female,41,58,Two Year,97.77,Fiber optic,0,5620.62,No
369,Male,59,50,One Year,112.71,Fiber optic,2,5631.72,No
370,Male,26,49,One Year,105.63,Fiber optic,2,5231.57,No
371,Female,43,3,Two Year,95.7,DSL,0,291.56,Yes
372,Female,37,47,Month-to-Month,98.78,DSL,3,4605.73,No
373,Female,57,31,Month-to-Month,105.54,Fiber optic,2,3317.9,No
374,Female,27,50,Two Year,91.29,DSL,1,4575.46,No
375,Male,36,51,One Year,22.44,Fiber optic,2,1153.96,No
376,Female,20,33,Two Year,84.93,No,3,2781.25,No
377,Female,41,35,One Year,111.31,DSL,2,3832.84,No
378,Male,22,69,Two Year,45.92,Fiber optic,5,3180.65,No
379,Female,20,42,One Year,58.24,No,1,2464.46,No
380,Male,44,15,One Year,68.2,Fiber optic,1,987.15,No
381,Female,33,58,Month-to-Month,75.7,Fiber optic,2,4398.4,No
382,Female,66,52,Two Year,53.35,Fiber optic,2,2820.94,No
383,Female,32,18,One Year,71.72,DSL,3,1240.15,No
384,Male,52,40,One Year,85.4,Fiber optic,0,3437.11,No
385,Male,29,46,One Year,9.69,No,1,440.74,No
386,Female,58,53,Month-to-Month,72.24,Fiber optic,2,3876.71,No
387,Male,61,54,Month-to-Month,58.52,DSL,0,3213.94,No
388,Male,43,18,Two Year,18.79,Fiber optic,3,341.3,No
389,Male,64,61,Month-to-Month,86.93,DSL,4,5302.6,No
390,Male,51,58,Month-to-Month,79.34,DSL,3,4590.53,No
391,Male,40,64,Month-to-Month,74.95,Fiber optic,4,4743.88,No
392,Male,48,67,One Year,88.31,Fiber optic,3,5936.46,No
393,Female,67,27,One Year,79.64,Fiber optic,2,2153.34,No
394,Female,37,17,One Year,47.86,DSL,1,775.85,No
395,Male,29,25,One Year,91.69,Fiber optic,1,2193.93,No
396,Female,40,18,Month-to-Month,96.83,DSL,0,1770.47,No
397,Female,21,54,Month-to-Month,37.43,DSL,1,2003.42,No
398,Female,40,56,Month-to-Month,96.42,Fiber optic,1,5433.73,No
399,Female,65,5,One Year,61.49,DSL,0,239.27,No
400,Male,65,0,Month-to-Month,88.38,DSL,2,3.59,Yes
401,Female,18,7,One Year,74.56,DSL,4,520.33,No
402,Female,42,50,Month-to-Month,64.84,Fiber optic,2,3231.51,No
403,Male,19,24,Month-to-Month,86.18,Fiber optic,3,2147.34,No
404,Male,47,46,Two Year,60.01,DSL,3,2768.51,No
405,Female,20,54,Month-to-Month,102.41,DSL,1,5443.6,No
406,Female,38,63,One Year,107.34,Fiber optic,3,6742.38,No
407,Female,42,9,Month-to-Month,53.59,Fiber optic,0,401.64,No
408,Female,37,55,Month-to-Month,64.98,Fiber optic,2,3644.67,No
409,Female,66,11,Month-to-Month,58.78,Fiber optic,1,658.89,No
410,Female,69,32,Month-to-Month,81.26,Fiber optic,3,2592.32,No
411,Male,39,70,One Year,109.3,Fiber optic,2,7580.47,No
412,Female,38,16,Month-to-Month,19.97,Fiber optic,1,328.16,No
413,Female,50,60,Month-to-Month,27.45,Fiber optic,1,1699.45,No
